date,surface,slot,slot_family,sentence_index,classifier_type,numbers_in_sentence,hand_id,hand_type,hand_class,hand_scope,hand_payload_path,hand_note,text
2026-07-08,email,report_card_recap,free,0,STAT_VALUE,1,,,,,,,Cardinals dropped Tuesday's middle game 4-3.
2026-07-08,email,report_card_recap,free,1,STAT_VALUE,2,,,,,,,Walker's 21st HR (2 RBI) put STL up 2-0 in the 1st.
2026-07-08,email,report_card_recap,free,2,FRAMING_VOICE,0,,,,,,,Milwaukee tied it in the 3rd on Ortiz's double and a Yelich RBI single.
2026-07-08,email,report_card_recap,free,3,MAGNITUDE,1,,,,,,,Herrera's 11th HR in the bottom half retook the lead 3-2.
2026-07-08,email,report_card_recap,free,4,FRAMING_VOICE,0,,,,,,,Milwaukee tied it in the 6th (Mitchell RBI single scoring Bauers) and grabbed the lead in the 7th on Yelich's second RBI double.
2026-07-08,email,report_card_recap,free,5,STAT_VALUE,4,,,,,,,Yelich finished 3-for-5 with 2 RBI; Ortiz 3-for-4; Bauers 2-for-3.
2026-07-08,email,report_card_recap,free,6,STAT_VALUE,1,,,,,,,Cardinals were swept in Tuesday's doubleheader and now trail this five-game set 3-0.
2026-07-08,email,prediction_grades_commentary,free,0,GAME_EVENT,3,,,,,,,WRONG -- Chourio reaches base: Chourio went 0-for-5 with 0 BB (0 reaches).
2026-07-08,email,prediction_grades_commentary,free,1,GAME_EVENT,3,,,,,,,WRONG -- Burleson reaches base: Burleson went 0-for-4 with 0 BB (0 reaches).
2026-07-08,email,prediction_grades_commentary,free,2,STAT_VALUE,2,,,,,,,CORRECT -- Brewers stolen bases: Turang stole 1 (team total 1 SB).
2026-07-08,email,prediction_grades_commentary,free,3,STAT_VALUE,1,,,,,,,CORRECT -- Cardinals strikeouts: Cardinals batters combined for 13 K.
2026-07-08,email,prediction_grades_commentary,free,4,GAME_EVENT,2,,,,,,,WRONG -- Turang hits: Turang went 0-for-4 (0 H).
2026-07-08,email,prediction_grades_commentary,free,5,STAT_VALUE,3,,,,,,,Hit rate: 2/5 (40%)
